trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
72,False,"{'a': 0.5, 'e': 0.27999999999999936}",25,0,-31.043792389831534,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.26999999999999935}",30,0,13.353997992309143,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.25999999999999934}",30,0,-122.47807437306807,"{0: 23, 1: 0, 2: 2, 3: 4, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.24999999999999933}",25,0,-41.27100255333222,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.23999999999999932}",20,0,5.009421818424268,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.22999999999999932}",35,0,-100.35777032277998,"{0: 30, 1: 0, 2: 0, 3: 4, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.2199999999999993}",20,0,-76.01186779176994,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.2099999999999993}",20,0,-23.133630760399537,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.1999999999999993}",30,0,-21.783944459538205,"{0: 27, 1: 1, 2: 0, 3: 2, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.18999999999999928}",25,0,-76.74631528794066,"{0: 18, 1: 1, 2: 3, 3: 3, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.17999999999999927}",25,0,-83.63809072905596,"{0: 20, 1: 1, 2: 0, 3: 3, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.16999999999999926}",30,0,-36.26474307670621,"{0: 27, 1: 0, 2: 0, 3: 3, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.15999999999999925}",30,0,-23.152445743410578,"{0: 27, 1: 1, 2: 0, 3: 2, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.14999999999999925}",25,0,13.332129957163065,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.13999999999999924}",25,0,-31.240600203059245,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.12999999999999923}",35,0,-150.0137120408437,"{0: 28, 1: 1, 2: 1, 3: 2, 4: 3}",0
88,False,"{'a': 0.5, 'e': 0.11999999999999923}",20,0,-8.815297952846628,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.10999999999999924}",25,0,-62.72556866447472,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.09999999999999924}",25,0,18.944002640925095,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.08999999999999925}",20,0,-20.952872877706326,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.07999999999999925}",20,0,-7.2688049363854565,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.06999999999999926}",30,0,-19.19694903270136,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.059999999999999255}",20,0,-16.463209234513897,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.04999999999999925}",20,0,-19.285257826492376,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.03999999999999925}",20,0,-18.108748331279102,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.02999999999999925}",25,0,-14.62196091530739,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.019999999999999248}",30,0,-7.505292958865708,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.009999999999999247}",30,0,-41.55936054208715,"{0: 27, 1: 0, 2: 0, 3: 3, 4: 0}",0
100,False,"{'a': 0.5, 'e': -7.528699885739343e-16}",20,0,-18.175463936846196,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-22.148383668022827,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,1.8880094464821584,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,0,-15.42411151669533,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,8.171360795423052,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-17.98650471411431,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",35,0,8.759818639538071,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,18.008347412357253,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,3.044381830800692,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-40.23491635358712,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",35,0,-53.52822269869503,"{0: 31, 1: 0, 2: 0, 3: 4, 4: 0}",0
