trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
55,False,"{'a': 0.5, 'e': -1.7500000000000013}",25,0,-18.470560393650896,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
56,False,"{'a': 0.5, 'e': -1.8000000000000014}",20,0,-22.050842651551406,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
57,False,"{'a': 0.5, 'e': -1.8500000000000014}",25,0,27.493718787104186,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': -1.9000000000000015}",30,0,9.431611779542441,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
59,False,"{'a': 0.5, 'e': -1.9500000000000015}",20,0,17.00864136218806,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': -2.0000000000000013}",25,0,-31.446703994277037,"{0: 22, 1: 0, 2: 0, 3: 3, 4: 0}",0
61,False,"{'a': 0.5, 'e': -2.050000000000001}",20,0,21.51031473913356,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': -2.100000000000001}",20,0,2.309679901912697,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': -2.150000000000001}",30,0,-39.07984802070275,"{0: 27, 1: 0, 2: 0, 3: 3, 4: 0}",0
64,False,"{'a': 0.5, 'e': -2.2000000000000006}",25,0,3.3976174562056816,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
65,False,"{'a': 0.5, 'e': -2.2500000000000004}",20,0,-45.951892514343875,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
66,False,"{'a': 0.5, 'e': -2.3000000000000003}",25,0,-36.82785211360035,"{0: 22, 1: 0, 2: 0, 3: 3, 4: 0}",0
67,False,"{'a': 0.5, 'e': -2.35}",20,0,-20.036797287361377,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
68,False,"{'a': 0.5, 'e': -2.4}",20,0,16.168141572218875,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': -2.4499999999999997}",20,0,-30.320590101841926,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
70,False,"{'a': 0.5, 'e': -2.4999999999999996}",20,0,-61.39039884291561,"{0: 16, 1: 0, 2: 0, 3: 4, 4: 0}",0
71,False,"{'a': 0.5, 'e': -2.5499999999999994}",30,0,2.038980528304905,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
72,False,"{'a': 0.5, 'e': -2.599999999999999}",25,0,33.679261093550906,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': -2.649999999999999}",25,0,-4.12706155128075,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
74,False,"{'a': 0.5, 'e': -2.699999999999999}",25,0,1.440666970966125,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
75,False,"{'a': 0.5, 'e': -2.7499999999999987}",20,0,-42.22053673241008,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
76,False,"{'a': 0.5, 'e': -2.7999999999999985}",20,0,16.47756122721426,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': -2.8499999999999983}",20,0,-15.30760244870281,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
78,False,"{'a': 0.5, 'e': -2.899999999999998}",25,0,4.911078671533025,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
79,False,"{'a': 0.5, 'e': -2.949999999999998}",25,0,3.120965224936973,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
80,False,"{'a': 0.5, 'e': -2.999999999999998}",20,0,-5.061358901697025,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
81,False,"{'a': 0.5, 'e': -3.0499999999999976}",20,0,28.18736730385782,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': -3.0999999999999974}",30,0,32.5539643775556,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': -3.1499999999999972}",20,0,22.193057215324767,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': -3.199999999999997}",20,0,-20.846859952110705,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
85,False,"{'a': 0.5, 'e': -3.249999999999997}",20,0,23.485180261777245,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': -3.2999999999999967}",20,0,-23.288641931248296,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
87,False,"{'a': 0.5, 'e': -3.3499999999999965}",25,0,-16.202361828388703,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
88,False,"{'a': 0.5, 'e': -3.3999999999999964}",25,0,21.461637663857125,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': -3.449999999999996}",30,0,-32.03110212912254,"{0: 27, 1: 0, 2: 0, 3: 3, 4: 0}",0
90,False,"{'a': 0.5, 'e': -3.499999999999996}",20,0,-3.2779151600959833,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
91,False,"{'a': 0.5, 'e': -3.549999999999996}",25,0,24.9288240954451,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': -3.5999999999999956}",20,0,-18.923849280288742,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
93,False,"{'a': 0.5, 'e': -3.6499999999999955}",25,0,-56.88306950644763,"{0: 21, 1: 0, 2: 0, 3: 4, 4: 0}",0
94,False,"{'a': 0.5, 'e': -3.6999999999999953}",20,0,2.6970638928795836,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
95,False,"{'a': 0.5, 'e': -3.749999999999995}",35,0,25.91315265134791,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': -3.799999999999995}",20,0,-24.777342461359204,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
97,False,"{'a': 0.5, 'e': -3.8499999999999948}",25,0,-22.05819994938592,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
98,False,"{'a': 0.5, 'e': -3.8999999999999946}",20,0,-47.80982131770312,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
99,False,"{'a': 0.5, 'e': -3.9499999999999944}",20,0,-16.595646094436958,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
100,False,"{'a': 0.5, 'e': -3.9999999999999942}",30,0,-8.76289835501263,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-54.01028079295239,"{0: 16, 1: 0, 2: 0, 3: 4, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,8.32485812503148,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,21.89199270021989,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-7.053139727022961,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,6.778837236464602,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",35,0,1.4759445384538177,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-0.2686510320195423,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-59.337286047156354,"{0: 16, 1: 0, 2: 0, 3: 4, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-3.3277688738104105,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-24.77933780246712,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
